phase,kind,epoch,domain,arm,seed,model,head_mode,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
P1,metrics.csv,60,RIM_ONE_r3,MIX_CTX,32,student,raw_linear3_same_geometry,40,40,0.9878392880543675,0.7354295967232989,0.6928353425881977,0.7141324696557483
P1,metrics.csv,60,RIM_ONE_r3,MIX_CTX,32,ema,raw_linear3_same_geometry,40,40,0.9877091649227578,0.7457951094073548,0.7323681908411249,0.7390816501242398
P1,metrics.csv,80,RIM_ONE_r3,MIX_CTX,32,student,raw_linear3_same_geometry,40,40,0.9876987438127711,0.7430677039449584,0.7298926515856803,0.7364801777653194
P1,metrics.csv,80,RIM_ONE_r3,MIX_CTX,32,ema,raw_linear3_same_geometry,40,40,0.9888996378214034,0.754563303657078,0.7272335343850855,0.7408984190210818
P1,metrics.csv,100,RIM_ONE_r3,MIX_CTX,32,student,raw_linear3_same_geometry,40,40,0.9889294918601486,0.7477374305803781,0.7177730434690842,0.7327552370247311
P1,metrics.csv,100,RIM_ONE_r3,MIX_CTX,32,ema,raw_linear3_same_geometry,40,40,0.9888458934244184,0.7469102295586881,0.7188078283624877,0.7328590289605879
P1,metrics.csv,20,Drishti_GS,MIX_CTX,32,student,raw_linear3_same_geometry,25,25,0.98484135003253,0.6546587833755798,0.7335686068819478,0.6941136951287638
P1,metrics.csv,20,Drishti_GS,MIX_CTX,32,ema,raw_linear3_same_geometry,25,25,0.9862308706644365,0.6625110433804231,0.7518748720685684,0.7071929577244958
P1,metrics.csv,40,Drishti_GS,MIX_CTX,32,student,raw_linear3_same_geometry,25,25,0.9834900760112956,0.6586903003204551,0.751739588157764,0.7052149442391095
P1,metrics.csv,40,Drishti_GS,MIX_CTX,32,ema,raw_linear3_same_geometry,25,25,0.9856033869144945,0.6956338993717647,0.7687760943149743,0.7322049968433695
P1,metrics.csv,60,Drishti_GS,MIX_CTX,32,student,raw_linear3_same_geometry,25,25,0.9875736349363641,0.6934261805545799,0.7599628244853871,0.7266945025199836
P1,metrics.csv,60,Drishti_GS,MIX_CTX,32,ema,raw_linear3_same_geometry,25,25,0.9868097453496969,0.670138866218779,0.7540258591441131,0.7120823626814462
P1,metrics.csv,80,Drishti_GS,MIX_CTX,32,student,raw_linear3_same_geometry,25,25,0.9834664602697297,0.63184388609099,0.741424658411248,0.6866342722511188
P1,metrics.csv,80,Drishti_GS,MIX_CTX,32,ema,raw_linear3_same_geometry,25,25,0.9869268631139723,0.6621255830642174,0.7526696824093871,0.7073976327368022
P1,metrics.csv,100,Drishti_GS,MIX_CTX,32,student,raw_linear3_same_geometry,25,25,0.9866349618049416,0.6568316378167122,0.7511210655227238,0.703976351669718
P1,metrics.csv,100,Drishti_GS,MIX_CTX,32,ema,raw_linear3_same_geometry,25,25,0.986794789617555,0.6600145056083216,0.7506592966764596,0.7053369011423907
P1,metrics.csv,20,RIM_ONE_r3,MIX_CED,32,student,raw_linear3_same_geometry,40,40,0.985998380851236,0.704477320896862,0.6164879737273927,0.6604826473121272
P1,metrics.csv,20,RIM_ONE_r3,MIX_CED,32,ema,raw_linear3_same_geometry,40,40,0.9858379359852005,0.7088590945416963,0.65400354916424,0.6814313218529681
P1,metrics.csv,40,RIM_ONE_r3,MIX_CED,32,student,raw_linear3_same_geometry,40,40,0.9877562518785726,0.7386124570738686,0.7156458155789849,0.7271291363264267
P1,metrics.csv,40,RIM_ONE_r3,MIX_CED,32,ema,raw_linear3_same_geometry,40,40,0.9881462431797796,0.7362817038470777,0.7215737070415299,0.7289277054443039
P1,metrics.csv,60,RIM_ONE_r3,MIX_CED,32,student,raw_linear3_same_geometry,40,40,0.9892526413079823,0.7461072333418066,0.7245011107288015,0.7353041720353041
P1,metrics.csv,60,RIM_ONE_r3,MIX_CED,32,ema,raw_linear3_same_geometry,40,40,0.988478719132161,0.7472303948902832,0.7311752675890325,0.7392028312396578
P1,metrics.csv,80,RIM_ONE_r3,MIX_CED,32,student,raw_linear3_same_geometry,40,40,0.9875875505397002,0.7336789253795838,0.7205813615651234,0.7271301434723536
P1,metrics.csv,80,RIM_ONE_r3,MIX_CED,32,ema,raw_linear3_same_geometry,40,40,0.9894997697233723,0.7582311209053092,0.7385337534401096,0.7483824371727094
P1,metrics.csv,100,RIM_ONE_r3,MIX_CED,32,student,raw_linear3_same_geometry,40,40,0.9897160139518586,0.7594283058355609,0.7248749740480376,0.7421516399417991
P1,metrics.csv,100,RIM_ONE_r3,MIX_CED,32,ema,raw_linear3_same_geometry,40,40,0.9896650128035154,0.7584915809616675,0.726459934359106,0.7424757576603866
P1,metrics.csv,20,Drishti_GS,MIX_CED,32,student,raw_linear3_same_geometry,25,25,0.98484135003253,0.6546587833755798,0.7335686068819478,0.6941136951287638
P1,metrics.csv,20,Drishti_GS,MIX_CED,32,ema,raw_linear3_same_geometry,25,25,0.9862308706644365,0.6625110433804231,0.7518748720685684,0.7071929577244958
P1,metrics.csv,40,Drishti_GS,MIX_CED,32,student,raw_linear3_same_geometry,25,25,0.9801771934505773,0.6580652640740685,0.7533033058017484,0.7056842849379085
P1,metrics.csv,40,Drishti_GS,MIX_CED,32,ema,raw_linear3_same_geometry,25,25,0.9856144012161056,0.6988091569546592,0.7698159605865758,0.7343125587706176
P1,metrics.csv,60,Drishti_GS,MIX_CED,32,student,raw_linear3_same_geometry,25,25,0.9856543989164754,0.6454169220738557,0.7545944100246147,0.7000056660492352
P1,metrics.csv,60,Drishti_GS,MIX_CED,32,ema,raw_linear3_same_geometry,25,25,0.9877842914603113,0.6958556308175057,0.7619388400549516,0.7288972354362288
P1,metrics.csv,80,Drishti_GS,MIX_CED,32,student,raw_linear3_same_geometry,25,25,0.9869883379485499,0.6603000128241334,0.7482760407869985,0.7042880268055659
P1,metrics.csv,80,Drishti_GS,MIX_CED,32,ema,raw_linear3_same_geometry,25,25,0.9882647952210988,0.6930067356255603,0.7573984717309642,0.7252026036782624
