level,key,policy,patients,foreground_dice,gain_macro_fg,weighting
seed_domain,0:REFUGE,O_CAP_lambda050,40,0.6323461624731805,0.04134734411669703,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,O_CAP_lambda075,40,0.6450098934736486,0.05401107511716513,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,O_CAP_envelope,40,0.6455274679563746,0.05452864959989111,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,O_SAFE0_lambda050,40,0.6323461624731805,0.04134734411669703,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,O_SAFE0_lambda075,40,0.6450098934736486,0.05401107511716513,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,O_SAFE0_envelope,40,0.6455274679563746,0.05452864959989111,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,O_NO_AREA_lambda050,40,0.8142265990756868,0.2232277807192034,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,O_NO_AREA_lambda075,40,0.8597821321270585,0.26878331377057507,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,O_NO_AREA_envelope,40,0.8618503269245356,0.270851508568052,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,O_FREE_SUBSET_lambda050,40,0.8174254809524788,0.22642666259599536,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,O_FREE_SUBSET_lambda075,40,0.8642429754649156,0.2732441571084321,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,O_FREE_SUBSET_envelope,40,0.8663194265402623,0.27532060818377896,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,current,16,0.37227650456878314,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,frozen_Ridge_hard,16,0.7982500121196874,0.4259735075509042,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,frozen_SHOR,16,0.7982500121196874,0.4259735075509042,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,frozen_PPC_C6,16,0.7750971922412792,0.40282068767249596,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,O_CAP_lambda050,16,0.3978090220963608,0.025532517527577705,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,O_CAP_lambda075,16,0.4213667849584527,0.049090280389669574,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,O_CAP_envelope,16,0.4213679186876995,0.049091414118916384,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,O_SAFE0_lambda050,16,0.3978090220963608,0.025532517527577705,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,O_SAFE0_lambda075,16,0.4213667849584527,0.049090280389669574,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,O_SAFE0_envelope,16,0.4213679186876995,0.049091414118916384,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,O_NO_AREA_lambda050,16,0.6773235975244735,0.3050470929556903,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,O_NO_AREA_lambda075,16,0.7673300145920567,0.3950535100232736,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,O_NO_AREA_envelope,16,0.7673300145920567,0.3950535100232736,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,O_FREE_SUBSET_lambda050,16,0.6783921427680206,0.30611563819923754,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,O_FREE_SUBSET_lambda075,16,0.7687147147233273,0.39643821015454406,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:RIM_ONE_r3,O_FREE_SUBSET_envelope,16,0.7687147147233273,0.39643821015454406,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,1:Drishti_GS,current,10,0.9048953962311949,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
