candidate,seed,stage_index,point_kind,class_id,requested_coverage,achieved_coverage,reason,predicted_retained_fraction,true_retained_fraction,true_class_recall,predicted_composition,true_composition,predicted_full_mass,true_full_mass
R2,0,0,registered,2,0.3,0.3000000678114527,,0.006537833848503297,0.01683763362529012,0.015257848103410306,0.0016490791266368504,0.0017973719171884299,0.07567091200086797,0.03202419704861111
R2,0,0,registered,0,0.4,0.4000000677772557,,0.47722708161044086,0.4475225868819373,0.4458418836576443,0.9903018544003207,0.9845486137307722,0.8300467936197674,0.8799991861978903
R2,0,0,registered,1,0.4,0.4000000677772557,,0.021675253857402516,0.048410197430291985,0.0055192913106621,0.0051089807961391225,0.010647411660527415,0.0942822943793403,0.08797661675347221
R2,0,0,registered,2,0.4,0.4000000677772557,,0.024258545114638413,0.0600043200569231,0.05543649516323038,0.004589164803540644,0.004803974608701203,0.07567091200086797,0.03202419704861111
R2,0,0,registered,0,0.5,0.5000000677430587,,0.5887180545540258,0.5542400360785984,0.5491370453223505,0.977326934498843,0.9754614291095074,0.8300467936197674,0.8799991861978903
R2,0,0,registered,1,0.5,0.5000000677430587,,0.06933362296969822,0.0862682190572804,0.019486335899752405,0.013073864329174479,0.015179170033207493,0.0942822943793403,0.08797661675347221
R2,0,0,registered,2,0.5,0.5000000677430587,,0.06342729471694637,0.14613016077388313,0.1311264336659495,0.009599201171983538,0.00935940085728631,0.07567091200086797,0.03202419704861111
R3,0,0,matched_global,0,0.21221327040847338,0.21221327040847338,,0.2554412593024428,0.23939412995384016,0.23933425071108366,0.9991278954573867,0.9927119031884065,0.8300467936197674,0.8799991861978903
R3,0,0,matched_global,1,0.21221327040847338,0.21221327040847338,,0.0007797164392853365,0.01610153029289245,0.00021121310322924793,0.0003464130905799914,0.006675162948371642,0.0942822943793403,0.08797661675347221
R3,0,0,matched_global,2,0.21221327040847338,0.21221327040847338,,0.001474261368168324,0.00406170057770173,0.0034666339132939164,0.0005256914520332895,0.0006129338632217928,0.07567091200086797,0.03202419704861111
R3,0,0,registered,0,0.05,0.0500000678163697,,0.060237649492980855,0.056629734197815466,0.056629734197815466,1.0,0.9966810483384219,0.8300467936197674,0.8799991861978903
R3,0,0,registered,1,0.05,0.0500000678163697,,0.0,0.0018754798545867163,0.0,0.0,0.003299962972055438,0.0942822943793403,0.08797661675347221
